"","points_5","points_4","points_3","points_2","points_1"
"9085","Yellow-eyed penguin","Kākā","Mōhua","Banded Dotterel","Orange-fronted Parakeet"
"9086","Kākāpō","Kōkako","Little Penguin","Little Spotted Kiwi","Takahē"
"9087","Orange-fronted Parakeet","Fairy Tern","Gibson's Albatross","Saddleback","Yellow-eyed penguin"
"9088","Kākāpō","Tūī","Little Penguin","Kererū","Little Spotted Kiwi"
"9089","New Zealand Falcon","New Zealand Robin","Tūī","Fantail","Yellow-eyed penguin"
"9090","Fernbird","Barn Owl","Kererū","Kingfisher","Weka"
"9091","Takahē","Kākā","Bittern","Kea","Gibson's Albatross"
"9092","Kea","Kākā","Little Penguin","Orange-fronted Parakeet","Black Robin"
"9093","Antipodean Albatross","Black Robin","Kākāpō","Little Spotted Kiwi","New Zealand Dotterel"
"9094","South Island Pied Oystercatcher","Yellow-eyed penguin","Royal Spoonbill","Southern Royal Albatross","Silvereye"
"9095","Yellow-eyed penguin","Mōhua","Fernbird","Rifleman","Rock Wren"
"9096","Kererū",NA,NA,NA,NA
"9097","Kea","Kākāpō","North Island Brown Kiwi","Harrier","Little Penguin"
"9098","Yellow-eyed penguin","Saddleback","South Island Kōkako","Black-billed Gull","Kākā"
"9099","New Zealand Robin","Tomtit","Bittern","Fernbird","New Zealand Dotterel"
"9100","Kākā","Takahē","Saddleback","Fantail","Kākāpō"
"9101","Shore Plover","Spotless Crake","South Island Pied Oystercatcher","New Zealand Falcon","Southern Royal Albatross"
"9102","Morepork","Little Penguin","Rifleman","Tūī","Barn Owl"
"9103","Kererū",NA,NA,NA,NA
"9104","Kererū","Kākā","Kākāpō","Black Robin","Black-billed Gull"
"9105","Saddleback","Kākāpō","Little Spotted Kiwi","Morepork","Yellow-eyed penguin"
"9106","South Island Kōkako","Shore Plover","Campbell Black-Browed Albatross","Kākāpō","Black Robin"
"9107","Black Robin","Little Penguin","Takahē","Rockhopper Penguin","Kākāpō"
"9108","Stitchbird","Antipodean Albatross","Rock Wren","Yellow-eyed penguin","New Zealand Dotterel"
"9109","Blue Duck","Fantail","Rifleman","Royal Spoonbill","Silvereye"
"9110","Blue Duck","Shore Plover","Silvereye","Wrybill","Rifleman"
"9111","Wrybill","Little shag","Welcome Swallow","Bellbird","Mōhua"
"9112","Antipodean Albatross","Orange-fronted Parakeet","Yellow-eyed penguin","Gibson's Albatross","Kākāpō"
"9113","Kingfisher","Great Spotted Kiwi","South Island Kōkako","White Heron","Saddleback"
"9114","Black Robin","Barn Owl","Little Penguin","Rifleman","Black-fronted Tern"
"9115","Banded Dotterel","Antipodean Albatross","Australasian Crested Grebe","Black Stilt","Shore Plover"
"9116","Takahē","Saddleback","Brown Teal","North Island Brown Kiwi","Kākā"
"9117","Mōhua","New Zealand Dotterel","Banded Dotterel","Stitchbird","Tomtit"
"9118","Fantail","Bellbird","Tūī","Chatham Island Oystercatcher","Black Robin"
"9119","Banded Dotterel","Rockhopper Penguin","Takahē","Rock Wren","Kōkako"
"9120","New Zealand Falcon","Gibson's Albatross","Chatham Island Mollymawk","South Island Kōkako","Black Robin"
"9121","Morepork","Kākā","Kererū","Bellbird","Yellow-eyed penguin"
"9122","Orange-fronted Parakeet","South Island Kōkako","Black Robin","Black Stilt","Gibson's Albatross"
"9123","Morepork","Weka","Kingfisher","New Zealand Robin","New Zealand Falcon"
"9124","Antipodean Albatross","Yellow-eyed penguin","Australasian Crested Grebe","Stitchbird","Kākā"
"9125","Chatham Island Mollymawk","Kākā","Orange-fronted Parakeet","Little Spotted Kiwi","New Zealand Dabchick"
"9126","Kākāpō",NA,NA,NA,NA
"9127","Fantail","Fiordland Crested Penguin","Kea","Kākā","Little Penguin"
"9128","Yellow-eyed penguin","Banded Dotterel","Blue Duck","Gibson's Albatross","Kākā"
"9129","Variable Oystercatcher","Fantail","Morepork","Kākā","Kingfisher"
"9130","Fantail","Little Spotted Kiwi","Tūī","Bellbird","Morepork"
"9131","Antipodean Albatross","Kea","Kākā","Southern Brown Kiwi","Black Robin"
"9132","Yellow-eyed penguin","North Island Brown Kiwi","Rockhopper Penguin","New Zealand Falcon","Fiordland Crested Penguin"
"9133","Tūī","Morepork","Black Robin","Welcome Swallow","Blue Duck"
"9134","Fantail",NA,NA,NA,NA
"9135","Great Spotted Kiwi","Kākā","Little Spotted Kiwi","North Island Brown Kiwi","Tūī"
"9136","Antipodean Albatross","Banded Dotterel","Black Robin","Blue Duck","Gibson's Albatross"
"9137","Fairy Tern","Kōkako","Kererū","Kingfisher","Kākāpō"
"9138","Fairy Tern","Yellow-eyed penguin","Shore Plover","Black Robin","Bittern"
"9139","Tūī","Kea","Kererū","Kākāpō","Southern Brown Kiwi"
"9140","South Island Kōkako","Black Robin","Yellow-eyed penguin","Fiordland Crested Penguin","Saddleback"
"9141","Black Robin","Banded Dotterel","Antipodean Albatross","Black Stilt","Chatham Island Mollymawk"
"9142","Yellow-eyed penguin",NA,NA,NA,NA
"9143","Bittern","Blue Duck","Kākā","Kōkako","Kākāpō"
"9144","Yellow-eyed penguin","Orange-fronted Parakeet","Rockhopper Penguin","Wrybill","Shining Cuckoo"
"9145","Banded Dotterel","Australasian Crested Grebe","Fernbird","Takahē","Kererū"
"9146","Kingfisher","Black Robin","Fantail","Kākā","Morepork"
"9147","New Zealand Falcon","Antipodean Albatross","Rock Wren","New Zealand Dabchick","Little Spotted Kiwi"
"9148","Morepork","Mōhua","Saddleback","Stitchbird","Fernbird"
"9149","Tūī","Kererū","Bellbird","Fantail","Yellow-eyed penguin"
"9150","Kākāpō","Orange-fronted Parakeet","Tūī","Fiordland Crested Penguin","Kākā"
"9151","Kākāpō","New Zealand Falcon","Yellow-eyed penguin","Mōhua","Kākā"
"9152","Royal Spoonbill","Kingfisher","Rifleman","Black Robin","Banded Dotterel"
"9153","Kākāpō","Black Robin","Stitchbird","New Zealand Robin","Kōkako"
"9154","Yellow-eyed penguin","Little shag","Little Penguin","Kererū","Banded Dotterel"
"9155","Rock Wren","Kākāpō","Wrybill","Banded Dotterel","New Zealand Dotterel"
"9156","Morepork","Blue Duck","Yellow-eyed penguin","Chatham Island Oystercatcher","Takahē"
"9157","Yellow-eyed penguin","Southern Royal Albatross","New Zealand Falcon","Black Robin","Banded Dotterel"
"9158","Blue Duck","Kākāpō","Yellow-eyed penguin","Mōhua","Kākā"
"9159","Chatham Island Oystercatcher","Fantail","Harrier","Mōhua","Antipodean Albatross"
"9160","Kākāpō","Bittern","Black Stilt","South Island Pied Oystercatcher","Bar-tailed Godwit"
"9161","Rockhopper Penguin","Yellow-eyed penguin","Little Penguin","Fiordland Crested Penguin","Fantail"
"9162","Kākāpō","Little Spotted Kiwi","Yellow-eyed penguin","Kererū","Orange-fronted Parakeet"
"9163","Kea","Yellow-eyed penguin","Antipodean Albatross","Barn Owl","Great Spotted Kiwi"
"9164","Kākāpō","Morepork","Harrier","Fantail","Barn Owl"
"9165","Yellow-eyed penguin","Morepork","Little Penguin","Blue Duck","Kākā"
"9166","New Zealand Dotterel","Blue Duck","Morepork","Fantail","Black Robin"
"9167","Stitchbird","Kingfisher","Campbell Black-Browed Albatross","Little Penguin","Banded Dotterel"
"9168","Black Robin","Little Penguin","Shore Plover","Shining Cuckoo","Little Spotted Kiwi"
"9169","Hutton's Shearwater","Black Robin","Kākā","Yellow-eyed penguin","Chatham Island Mollymawk"
"9170","Black Robin","Chatham Island Oystercatcher","Little Spotted Kiwi","Orange-fronted Parakeet","Antipodean Albatross"
"9171","Kākāpō","Kōkako","Black Robin","Southern Brown Kiwi","Whenua Hou Diving Petrel"
"9172","Yellow-eyed penguin","Kākāpō","Kākā","Kererū","Kea"
"9173","Bar-tailed Godwit","Bittern","Black Petrel","Black Robin","Black Stilt"
"9174","Banded Dotterel","Fairy Tern","Kākāpō","Orange-fronted Parakeet","New Zealand Falcon"
"9175","Bittern","Buller's Mollymawk","Kererū","Kōkako","Morepork"
"9176","New Zealand Dotterel","Yellow-eyed penguin","Banded Dotterel","Mōhua","Whenua Hou Diving Petrel"
"9177","Southern Brown Kiwi","Banded Dotterel","Bar-tailed Godwit","Bellbird","Rockhopper Penguin"
"9178","New Zealand Dotterel","Southern Brown Kiwi","The Otago Shag","Kākāpō","Blue Duck"
"9179","Yellow-eyed penguin","Rockhopper Penguin","Rifleman","Orange-fronted Parakeet","Morepork"
"9180","Yellow-eyed penguin","Fiordland Crested Penguin","Morepork",NA,NA
"9181","Morepork","Mōhua","New Zealand Dotterel","Weka","Yellow-eyed penguin"
"9182","Morepork","Fantail","Tūī",NA,NA
"9183","Yellow-eyed penguin","Southern Brown Kiwi","Little Spotted Kiwi","Kākā","Kākāpō"
"9184","Kea","Kākāpō","Kākā","Blue Duck","Yellow-eyed penguin"
"9185","Fairy Tern","Banded Dotterel","Black Robin","Chatham Island Oystercatcher","Yellow-eyed penguin"
"9186","Pūkeko","Fernbird","Weka","New Zealand Falcon","Tūī"
"9187","Hutton's Shearwater","Saddleback","Salvin's Mollymawk","Orange-fronted Parakeet","New Zealand Falcon"
"9188","Weka","New Zealand Robin","Fiordland Crested Penguin","Orange-fronted Parakeet","White Heron"
"9189","New Zealand Dotterel","Banded Dotterel","Royal Spoonbill","Mōhua","Gibson's Albatross"
"9190","Yellow-eyed penguin","Fairy Tern","New Zealand Dotterel","New Zealand Falcon","Mōhua"
"9191","Kōkako","South Island Kōkako","Kākāpō","Kea","Antipodean Albatross"
"9192","Fantail","Tūī","Silvereye","Morepork","Kingfisher"
"9193","Kākā","Kōkako","Morepork","Mōhua","Tūī"
"9194","Kingfisher","Bellbird","Black Robin","Blue Duck","Fiordland Crested Penguin"
"9195","Kea","Rock Wren","Kākā","New Zealand Robin","Southern Brown Kiwi"
"9196","Banded Dotterel","New Zealand Falcon","Kea","Blue Duck","Yellow-eyed penguin"
"9197","Kākāpō","Black Stilt","Kākā","Kōkako","Little Spotted Kiwi"
"9198","Kea","Kākāpō","Little Penguin","Little Spotted Kiwi","Southern Brown Kiwi"
"9199","Silvereye","Yellow-eyed penguin","Blue Duck","Royal Spoonbill","Rifleman"
"9200","Antipodean Albatross","Kea","Kākāpō","Orange-fronted Parakeet","Yellow-eyed penguin"
"9201","Australasian Crested Grebe","New Zealand Falcon","Barn Owl","Saddleback","Kea"
"9202","Blue Duck","Banded Dotterel","Brown Teal","Fairy Tern","Bittern"
"9203","Takahē","Stitchbird","Black Robin","Black Stilt","Orange-fronted Parakeet"
"9204","Kākāpō","Black Robin","Great Spotted Kiwi","New Zealand Falcon","Harrier"
"9205","Antipodean Albatross","Kākāpō","Orange-fronted Parakeet","Mōhua","Black Robin"
"9206","Bellbird","Saddleback","Kererū","Kingfisher","Kōkako"
"9207","Takahē","Weka","New Zealand Falcon","Kākā","Tūī"
"9208","Blue Duck","Wrybill","Banded Dotterel","Silvereye","Welcome Swallow"
"9209","Banded Dotterel","Black-billed Gull","Northern Royal Albatross","Rockhopper Penguin","Morepork"
"9210","Kākāpō",NA,NA,NA,NA
"9211","Fiordland Crested Penguin","Little Penguin","Kākāpō","Morepork","Black Robin"
"9212","Takahē","New Zealand Dotterel","New Zealand Falcon","Kākāpō","Kererū"
"9213","Bellbird","Grey Warbler","Kea","Kererū","Kākā"
"9214","Banded Dotterel","Blue Duck","South Island Kōkako","Rifleman","Australasian Gannet"
"9215","Banded Dotterel","South Island Kōkako","Black Robin","Mōhua","New Zealand Dotterel"
"9216","Shining Cuckoo","Bar-tailed Godwit","Kingfisher","Barn Owl","Kākā"
"9217","Takahē","Morepork","Black Robin","Yellow-eyed penguin","Kākāpō"
"9218","Kākāpō","South Island Kōkako","Kōkako","Black Robin","Rockhopper Penguin"
"9219","Kererū","Black Stilt","Banded Dotterel","Mōhua","Royal Spoonbill"
"9220","Fantail","Morepork","Kākāpō","Grey Warbler","Rockhopper Penguin"
"9221","New Zealand Dotterel","Antipodean Albatross","Hutton's Shearwater","Shore Plover","Whenua Hou Diving Petrel"
"9222","Kākāpō","Tūī","Black Robin","Kea","Little Spotted Kiwi"
"9223","Yellow-eyed penguin","Tomtit","Antipodean Albatross","Barn Owl","Bellbird"
"9224","Fiordland Crested Penguin","Rockhopper Penguin","Little Penguin","Yellow-eyed penguin","South Island Kōkako"
"9225","Morepork","Fantail","Kākāpō","New Zealand Falcon","Fernbird"
"9226","Mōhua","Orange-fronted Parakeet","Saddleback","Blue Duck","Antipodean Albatross"
"9227","Black-billed Gull","Kererū","Morepork","Weka","Pūkeko"
"9228","Stitchbird","Takahē","Tomtit","Kererū","Rifleman"
"9229","Fantail","New Zealand Falcon","New Zealand Robin","Stitchbird","Kōkako"
"9230","Black Stilt","South Island Kōkako","Orange-fronted Parakeet","Kōkako","Yellow-eyed penguin"
"9231","Silvereye","Fantail","Welcome Swallow","White Heron","Tūī"
"9232","Kākāpō","Fairy Tern","South Island Kōkako","Yellow-eyed penguin","Chatham Island Oystercatcher"
"9233","Banded Dotterel","Black Robin","New Zealand Falcon","Rockhopper Penguin","Stitchbird"
"9234","Fantail","Tūī","Kingfisher","Kererū","Kākā"
"9235","Bellbird","Fantail","Silvereye","Tūī","Orange-fronted Parakeet"
"9236","Yellow-eyed penguin","Tūī","Kererū","Pūkeko","North Island Brown Kiwi"
"9237","Yellow-eyed penguin","Weka","Black Robin","Blue Duck","Kākā"
"9238","Kea","Saddleback","Kākāpō","Antipodean Albatross","Kākā"
"9239","Banded Dotterel","Black Robin","Chatham Island Oystercatcher","Fiordland Crested Penguin","Kererū"
"9240","Kingfisher","Kākā","Morepork","New Zealand Falcon","Variable Oystercatcher"
"9241","Blue Duck","White Heron","Saddleback","Banded Dotterel","Stitchbird"
"9242","Black Stilt","Kererū","Fairy Tern","Fiordland Crested Penguin","Blue Duck"
"9243","Black Robin","Kākā","New Zealand Dotterel","Orange-fronted Parakeet","Kākāpō"
"9244","Tūī","Kingfisher","Orange-fronted Parakeet","Morepork","Black Robin"
"9245","Barn Owl","Gibson's Albatross","Kākāpō","Kererū","Yellow-eyed penguin"
"9246","Southern Brown Kiwi","Fiordland Crested Penguin","Little Spotted Kiwi","Morepork","Black Robin"
"9247","Kea","Kākā","Kākāpō","New Zealand Falcon","Tūī"
"9248","South Island Kōkako","Southern Brown Kiwi","Takahē","Harrier","Hutton's Shearwater"
"9249","Rifleman","Black Robin","Antipodean Albatross","Bittern","Kākāpō"
"9250","Barn Owl","Kākā","Kākāpō","Yellow-eyed penguin","Weka"
"9251","Harrier","Kea","Tūī","Kākāpō","Morepork"
"9252","Barn Owl","Fiordland Crested Penguin","Great Spotted Kiwi","Harrier","Little Penguin"
"9253","South Island Kōkako","Black Robin","Blue Duck","Little shag","Scaup"
"9254","Bittern","Black Robin","Fernbird","Yellow-eyed penguin","Wrybill"
"9255","Barn Owl","Banded Dotterel","Bellbird","Fiordland Crested Penguin","Bar-tailed Godwit"
"9256","Fantail","Great Spotted Kiwi","Tūī","Kererū","Silvereye"
"9257","Kererū","Chatham Island Oystercatcher","Kingfisher","Morepork","Takahē"
"9258","Gibson's Albatross","Yellow-eyed penguin","Morepork","Blue Duck","Kākāpō"
"9259","Kākāpō","Blue Duck","Fantail","Stitchbird","Tomtit"
"9260","Banded Dotterel","Stitchbird","Grey Warbler","Orange-fronted Parakeet","Kea"
"9261","Black Robin","Banded Dotterel","Blue Duck","Silvereye","Yellow-eyed penguin"
"9262","Chatham Island Mollymawk","Chatham Island Oystercatcher","Morepork","Kākāpō","New Zealand Falcon"
"9263","Southern Royal Albatross","New Zealand King Shag","Pied Shag","Yellow-eyed penguin","Antipodean Albatross"
"9264","New Zealand Falcon","Takahē","Kōkako","Yellow-eyed penguin","Shining Cuckoo"
"9265","Takahē","Tūī","Kererū","Morepork","Southern Brown Kiwi"
"9266","Fantail","Little Penguin","Rifleman","New Zealand Falcon","Yellow-eyed penguin"
"9267","Mōhua","Tūī","Kea","Kingfisher","Kākā"
"9268","Northern Royal Albatross","Barn Owl","Fiordland Crested Penguin","Yellow-eyed penguin","New Zealand Falcon"
"9269","Kererū","Kingfisher","Tūī","Yellow-eyed penguin","Morepork"
"9270","Tūī","Yellow-eyed penguin","Tomtit","Silvereye","Orange-fronted Parakeet"
"9271","Fantail","Mōhua","Bar-tailed Godwit","Tomtit","Kākā"
"9272","Yellow-eyed penguin","Whenua Hou Diving Petrel","Chatham Island Mollymawk","Antipodean Albatross","Bittern"
"9273","Antipodean Albatross","Banded Dotterel","Bittern","Tūī","Blue Duck"
"9274","Yellow-eyed penguin","Fiordland Crested Penguin","Rockhopper Penguin","Kea","Pūkeko"
"9275","Black-billed Gull","Antipodean Albatross","Gibson's Albatross","Kea","Kākāpō"
"9276","Gibson's Albatross","Morepork","Wrybill","Rockhopper Penguin","Kingfisher"
"9277","Kākāpō","Yellow-eyed penguin","Kākā","Little Spotted Kiwi","Fantail"
"9278","Fairy Tern","Kōkako","Bar-tailed Godwit","New Zealand Dotterel","Southern Royal Albatross"
"9279","Orange-fronted Parakeet","Morepork","New Zealand Falcon","Kākā","Kingfisher"
"9280","Kākā","Yellow-eyed penguin","Kōkako","Rockhopper Penguin","Chatham Island Oystercatcher"
"9281","Black Robin","Antipodean Albatross","Blue Duck","Kākāpō","Kākā"
"9282","Banded Dotterel","Wrybill","Takahē","Fernbird","Pied Shag"
"9283","Bellbird","Silvereye","Fantail","Tomtit","Kingfisher"
"9284","South Island Kōkako","Black Robin","Blue Duck","Little shag","Rifleman"
"9285","Orange-fronted Parakeet","Morepork","New Zealand Falcon","Kākā","Kingfisher"
"9286","Fairy Tern","Black Stilt","Blue Duck","New Zealand Dotterel","Rifleman"
"9287","New Zealand Robin","Yellow-eyed penguin","Morepork","Fairy Tern","Chatham Island Mollymawk"
"9288","New Zealand Falcon","North Island Brown Kiwi","Barn Owl","Kingfisher","Tūī"
"9289","Banded Dotterel","Antipodean Albatross","Royal Spoonbill","South Island Kōkako","Rockhopper Penguin"
"9290","Kākāpō",NA,NA,NA,NA
"9291","Banded Dotterel","Antipodean Albatross","Black-fronted Tern","Kea","Kererū"
"9292","Blue Duck","Yellow-eyed penguin","Stitchbird","Banded Dotterel","New Zealand Dotterel"
"9293","Banded Dotterel","Australasian Crested Grebe","Morepork","Black-billed Gull","Silvereye"
"9294","Hutton's Shearwater","Whenua Hou Diving Petrel","Rifleman","Orange-fronted Parakeet","Bittern"
"9295","Takahē","Kingfisher","Australasian Gannet","Wrybill","Fantail"
"9296","South Island Kōkako","Kākā","Black Robin","Kākāpō","Chatham Island Mollymawk"
"9297","Rockhopper Penguin","Whitehead","Yellow-eyed penguin","Tūī","New Zealand Falcon"
"9298","Yellow-eyed penguin","Kākāpō","Kākā","Takahē",NA
"9299","Kea","Black Robin","Blue Duck","Kākā","Kākāpō"
"9300","Tūī","White-faced Heron","Bar-tailed Godwit","Fantail","Southern Royal Albatross"
"9301","Yellow-eyed penguin","Black Robin","South Island Kōkako","New Zealand Dotterel","New Zealand Dabchick"
"9302","Fantail","Stitchbird","Tomtit","Kea","Kākāpō"
"9303","Fantail","Kererū","Kōkako","Morepork","South Island Kōkako"
"9304","Banded Dotterel","South Island Kōkako","Australasian Crested Grebe","Bittern","The Otago Shag"
"9305","Morepork","South Island Kōkako","Kererū","Takahē","Fiordland Crested Penguin"
"9306","Fantail",NA,NA,NA,NA
"9307","Bar-tailed Godwit","Gibson's Albatross","Kākāpō","Kōkako","Little Penguin"
"9308","Blue Duck","South Island Kōkako","Kākā","Little shag","Pied Shag"
"9309","Little Penguin","Fantail","Blue Duck","Gibson's Albatross","Black Robin"
"9310","Tūī","Silvereye","Fantail","Kingfisher","White Heron"
"9311","Bellbird","Bittern","Black Robin","Kea","Kōkako"
"9312","Yellow-eyed penguin","Mōhua","Kea","Southern Royal Albatross","New Zealand Falcon"
"9313","Rockhopper Penguin","Fairy Tern","Blue Duck","Kōkako","Yellow-eyed penguin"
"9314","Takahē","Black Robin","Kākāpō","Kākā","Yellow-eyed penguin"
"9315","Saddleback","Banded Dotterel","Kingfisher","Barn Owl","South Island Kōkako"
"9316","Blue Duck","Mōhua","Stitchbird","Rock Wren","Fantail"
"9317","Yellow-eyed penguin","Whenua Hou Diving Petrel","Blue Duck","Shore Plover","Morepork"
"9318","New Zealand Falcon","Kea","Grey Duck","Blue Duck","Kererū"
"9319","Kākāpō","Blue Duck","Kererū","Black Robin","New Zealand Falcon"
"9320","Kererū","South Island Kōkako","South Island Pied Oystercatcher","Blue Duck","Yellow-eyed penguin"
"9321","Banded Dotterel","Black Robin","Black Stilt","Blue Duck","Chatham Island Mollymawk"
"9322","Yellow-eyed penguin","Fantail","Fiordland Crested Penguin","Rockhopper Penguin","Little Penguin"
"9323","Yellow-eyed penguin","Whenua Hou Diving Petrel","Banded Dotterel","Bittern","Fiordland Crested Penguin"
